DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter223,Bosentan,DDInter9,Acalabrutinib,Moderate
DDInter438,Conivaptan,DDInter9,Acalabrutinib,Major
DDInter513,Dexamethasone,DDInter9,Acalabrutinib,Moderate
DDInter561,Diltiazem,DDInter9,Acalabrutinib,Major
DDInter602,Dronedarone,DDInter9,Acalabrutinib,Major
DDInter856,Heparin,DDInter9,Acalabrutinib,Major
DDInter900,Ibuprofen,DDInter9,Acalabrutinib,Major
DDInter921,Indomethacin,DDInter9,Acalabrutinib,Major
DDInter1085,Lomitapide,DDInter9,Acalabrutinib,Moderate
DDInter1291,Nifedipine,DDInter9,Acalabrutinib,Moderate
DDInter1424,Pentosan polysulfate,DDInter9,Acalabrutinib,Moderate
DDInter1426,Pentoxifylline,DDInter9,Acalabrutinib,Major
DDInter1570,Ranolazine,DDInter9,Acalabrutinib,Moderate
DDInter1928,Verapamil,DDInter9,Acalabrutinib,Major
DDInter11,Acarbose,DDInter179,Bendroflumethiazide,Moderate
DDInter11,Acarbose,DDInter195,Betamethasone,Moderate
DDInter11,Acarbose,DDInter196,Betamethasone (topical),Minor
DDInter11,Acarbose,DDInter248,Bumetanide,Moderate
DDInter11,Acarbose,DDInter360,Chlorothiazide,Moderate
DDInter11,Acarbose,DDInter365,Chlorthalidone,Moderate
DDInter11,Acarbose,DDInter513,Dexamethasone,Moderate
DDInter11,Acarbose,DDInter515,Dexamethasone (ophthalmic),Minor
DDInter11,Acarbose,DDInter516,Dexamethasone (topical),Minor
DDInter11,Acarbose,DDInter535,Diazoxide,Moderate
DDInter11,Acarbose,DDInter553,Digitoxin,Moderate
DDInter11,Acarbose,DDInter554,Digoxin,Moderate
DDInter11,Acarbose,DDInter577,Dobutamine,Moderate
DDInter11,Acarbose,DDInter584,Dopamine,Moderate
DDInter11,Acarbose,DDInter650,Ephedrine,Moderate
DDInter11,Acarbose,DDInter652,Epinephrine,Moderate
DDInter11,Acarbose,DDInter686,Etacrynic acid,Moderate
DDInter11,Acarbose,DDInter753,Fluocinonide (topical),Minor
DDInter11,Acarbose,DDInter790,Furosemide,Moderate
DDInter11,Acarbose,DDInter883,Hydrochlorothiazide,Moderate
DDInter11,Acarbose,DDInter885,Hydrocortisone,Moderate
DDInter11,Acarbose,DDInter887,Hydrocortisone (topical),Minor
DDInter11,Acarbose,DDInter889,Hydroflumethiazide,Moderate
DDInter11,Acarbose,DDInter916,Indapamide,Moderate
DDInter11,Acarbose,DDInter987,Isoprenaline,Moderate
DDInter11,Acarbose,DDInter1085,Lomitapide,Major
DDInter11,Acarbose,DDInter1151,Mephentermine,Moderate
DDInter11,Acarbose,DDInter1162,Metaraminol,Moderate
DDInter11,Acarbose,DDInter1176,Methoxamine,Moderate
DDInter11,Acarbose,DDInter1199,Metolazone,Moderate
DDInter11,Acarbose,DDInter1228,Mipomersen,Major
DDInter11,Acarbose,DDInter1286,Niacin,Moderate
DDInter11,Acarbose,DDInter1311,Norepinephrine,Moderate
DDInter11,Acarbose,DDInter1453,Phenylephrine,Moderate
DDInter11,Acarbose,DDInter1490,Polythiazide,Moderate
DDInter11,Acarbose,DDInter1513,Prednisolone,Moderate
DDInter1836,Torasemide,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1855,Triamcinolone,Moderate
DDInter11,Acarbose,DDInter1857,Triamcinolone (ophthalmic),Moderate
DDInter11,Acarbose,DDInter1858,Triamcinolone (topical),Minor
DDInter11,Acarbose,DDInter1861,Trichlormethiazide,Moderate
DDInter1066,Lidocaine,DDInter12,Acebutolol,Moderate
DDInter27,Adalimumab,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter35,Albendazole,Minor
DDInter40,Alefacept,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter43,Alfentanil,Minor
DDInter1066,Lidocaine,DDInter54,Alprazolam,Moderate
DDInter1066,Lidocaine,DDInter64,Amifampridine,Moderate
DDInter1066,Lidocaine,DDInter66,Amikacin,Minor
DDInter1066,Lidocaine,DDInter67,Amikacin (liposome),Minor
DDInter1066,Lidocaine,DDInter71,Aminoglutethimide,Minor
DDInter1066,Lidocaine,DDInter76,Amiodarone,Moderate
DDInter1066,Lidocaine,DDInter81,Amobarbital,Minor
DDInter1066,Lidocaine,DDInter90,Amprenavir,Major
DDInter93,Anagrelide,DDInter1066,Lidocaine,Moderate
DDInter94,Anakinra,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter107,Apalutamide,Minor
DDInter1066,Lidocaine,DDInter112,Aprepitant,Moderate
DDInter1066,Lidocaine,DDInter114,Arbutamine,Major
DDInter1066,Lidocaine,DDInter119,Armodafinil,Minor
DDInter1066,Lidocaine,DDInter129,Atazanavir,Moderate
DDInter1066,Lidocaine,DDInter130,Atenolol,Moderate
DDInter1066,Lidocaine,DDInter135,Atracurium,Moderate
DDInter1066,Lidocaine,DDInter1364,Oxybuprocaine (ophthalmic),Moderate
DDInter1066,Lidocaine,DDInter184,Benzocaine (topical),Moderate
DDInter197,Betaxolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter202,Bexarotene,Minor
DDInter1066,Lidocaine,DDInter216,Bisoprolol,Moderate
DDInter1066,Lidocaine,DDInter221,Boceprevir,Moderate
DDInter1066,Lidocaine,DDInter223,Bosentan,Minor
DDInter1066,Lidocaine,DDInter229,Bretylium,Moderate
DDInter1066,Lidocaine,DDInter250,Bupivacaine (liposome),Major
DDInter1066,Lidocaine,DDInter252,Bupropion,Major
DDInter256,Butabarbital,DDInter1066,Lidocaine,Minor
DDInter257,Butalbital,DDInter1066,Lidocaine,Minor
DDInter1066,Lidocaine,DDInter281,Canakinumab,Moderate
DDInter1066,Lidocaine,DDInter287,Capmatinib,Moderate
DDInter1066,Lidocaine,DDInter293,Carbamazepine,Minor
DDInter1066,Lidocaine,DDInter303,Carteolol,Moderate
DDInter1066,Lidocaine,DDInter305,Carvedilol,Moderate
DDInter1066,Lidocaine,DDInter338,Cenobamate,Minor
DDInter1066,Lidocaine,DDInter340,Ceritinib,Moderate
DDInter1066,Lidocaine,DDInter342,Certolizumab pegol,Moderate
DDInter1066,Lidocaine,DDInter355,Chlordiazepoxide,Moderate
DDInter1066,Lidocaine,DDInter380,Cimetidine,Moderate
DDInter1066,Lidocaine,DDInter386,Cisatracurium,Moderate
DDInter1066,Lidocaine,DDInter401,Clobazam,Moderate
DDInter1066,Lidocaine,DDInter411,Clonazepam,Moderate
DDInter1066,Lidocaine,DDInter412,Clonidine,Minor
DDInter1066,Lidocaine,DDInter414,Clorazepic acid,Moderate
DDInter1066,Lidocaine,DDInter424,Cobicistat,Moderate
DDInter1066,Lidocaine,DDInter426,Cocaine (nasal),Moderate
DDInter1066,Lidocaine,DDInter427,Cocaine (topical),Moderate
DDInter1066,Lidocaine,DDInter438,Conivaptan,Major
DDInter1066,Lidocaine,DDInter462,Dabrafenib,Minor
DDInter1066,Lidocaine,DDInter482,Darunavir,Moderate
DDInter1066,Lidocaine,DDInter484,Dasatinib,Moderate
DDInter1066,Lidocaine,DDInter488,Deferasirox,Minor
DDInter1066,Lidocaine,DDInter496,Delavirdine,Moderate
DDInter1066,Lidocaine,DDInter513,Dexamethasone,Minor
DDInter1066,Lidocaine,DDInter534,Diazepam,Moderate
DDInter1066,Lidocaine,DDInter382,Cinchocaine (topical),Moderate
DDInter1066,Lidocaine,DDInter561,Diltiazem,Moderate
DDInter575,Disopyramide,DDInter1066,Lidocaine,Moderate
DDInter580,Dofetilide,DDInter1066,Lidocaine,Major
DDInter1066,Lidocaine,DDInter584,Dopamine,Minor
DDInter1066,Lidocaine,DDInter590,Doxacurium,Moderate
DDInter1066,Lidocaine,DDInter596,Doxorubicin,Minor
DDInter1066,Lidocaine,DDInter597,Doxorubicin (liposomal),Minor
DDInter1066,Lidocaine,DDInter602,Dronedarone,Moderate
DDInter1066,Lidocaine,DDInter612,Duvelisib,Moderate
DDInter1066,Lidocaine,DDInter614,Echinacea,Moderate
DDInter1066,Lidocaine,DDInter624,Efavirenz,Minor
DDInter1066,Lidocaine,DDInter625,Elagolix,Minor
DDInter1066,Lidocaine,DDInter634,Emapalumab,Moderate
DDInter1066,Lidocaine,DDInter649,Enzalutamide,Minor
DDInter675,Esmolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter677,Estazolam,Moderate
DDInter687,Etanercept,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter696,Ethotoin,Minor
DDInter1066,Lidocaine,DDInter703,Etravirine,Moderate
DDInter1066,Lidocaine,DDInter715,Felbamate,Minor
DDInter743,Fluconazole,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter760,Fluphenazine,Moderate
DDInter1066,Lidocaine,DDInter762,Flurazepam,Moderate
DDInter770,Fluvoxamine,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter777,Fosamprenavir,Major
DDInter1066,Lidocaine,DDInter778,Fosaprepitant,Moderate
DDInter1066,Lidocaine,DDInter783,Fosphenytoin,Minor
DDInter1066,Lidocaine,DDInter785,Fostamatinib,Moderate
DDInter1066,Lidocaine,DDInter815,Gentamicin,Minor
DDInter1066,Lidocaine,DDInter819,Ginkgo biloba,Moderate
DDInter1066,Lidocaine,DDInter821,Givosiran,Moderate
DDInter1066,Lidocaine,DDInter837,Golimumab,Moderate
DDInter1066,Lidocaine,DDInter843,Griseofulvin,Minor
DDInter1066,Lidocaine,DDInter849,Guselkumab,Moderate
DDInter1066,Lidocaine,DDInter850,Halazepam,Moderate
DDInter1066,Lidocaine,DDInter881,Hyaluronidase,Minor
DDInter1066,Lidocaine,DDInter901,Ibutilide,Moderate
DDInter1066,Lidocaine,DDInter905,Idelalisib,Moderate
DDInter1066,Lidocaine,DDInter909,Imatinib,Moderate
DDInter917,Indinavir,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter918,Indium In-111 oxyquinoline,Moderate
DDInter923,Infliximab,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter960,Iohexol,Major
DDInter1066,Lidocaine,DDInter961,Iopamidol,Major
DDInter1066,Lidocaine,DDInter995,Itraconazole,Moderate
DDInter1066,Lidocaine,DDInter997,Ivacaftor,Moderate
DDInter1066,Lidocaine,DDInter1000,Ivosidenib,Minor
DDInter1066,Lidocaine,DDInter1003,Ixekizumab,Moderate
DDInter1066,Lidocaine,DDInter1004,Kanamycin,Minor
DDInter1066,Lidocaine,DDInter1013,Labetalol,Moderate
DDInter1066,Lidocaine,DDInter1014,Lacosamide,Moderate
DDInter1066,Lidocaine,DDInter1021,Lanreotide,Moderate
DDInter1066,Lidocaine,DDInter1024,Lapatinib,Moderate
DDInter1066,Lidocaine,DDInter1026,Larotrectinib,Moderate
DDInter1066,Lidocaine,DDInter1032,Lefamulin,Moderate
DDInter1066,Lidocaine,DDInter1034,Lemborexant,Moderate
DDInter1066,Lidocaine,DDInter1072,Lindane,Moderate
DDInter1066,Lidocaine,DDInter1087,Lonafarnib,Moderate
DDInter1092,Lorazepam,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1094,Lorlatinib,Minor
DDInter1066,Lidocaine,DDInter1106,Lusutrombopag,Moderate
DDInter1066,Lidocaine,DDInter1140,Mefloquine,Moderate
DDInter1066,Lidocaine,DDInter1152,Mephenytoin,Minor
DDInter1066,Lidocaine,DDInter1190,Methylphenobarbital,Minor
DDInter1066,Lidocaine,DDInter1198,Metocurine,Moderate
DDInter1200,Metoprolol,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1206,Mexiletine,Moderate
DDInter1066,Lidocaine,DDInter1212,Midazolam,Moderate
DDInter1066,Lidocaine,DDInter1215,Mifepristone,Moderate
