entity_b_id,generic_name,canonical_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,therapeutic_index_tier,narrow_therapeutic_index,route,dosage_form,rxcui,pubchem_cid,label_source,curation_status
sys_med_0083,Olanzapine,Olanzapine,olanzapine,antipsychotic_atypical,cyp1a2_substrate|d2_5ht2a_antagonist|anticholinergic_systemic,CYP1A2,,low,False,systemic,unspecified_systemic,61381,,DrugBank DB00334,source_partial
sys_med_0084,Risperidone,Risperidone,risperidone,antipsychotic_atypical,cyp2d6_substrate|d2_5ht2a_antagonist,CYP2D6,,low,False,systemic,unspecified_systemic,35636,,DrugBank DB00734,source_partial
sys_med_0085,Quetiapine,Quetiapine,quetiapine fumarate,antipsychotic_atypical,cyp3a4_substrate|d2_5ht2a_antagonist,CYP3A4,,low,False,systemic,unspecified_systemic,51272,,DrugBank DB01224,source_partial
sys_med_0086,Aripiprazole,Aripiprazole,aripiprazole,antipsychotic_atypical,cyp2d6_substrate|cyp3a4_substrate|d2_partial_agonist,CYP2D6|CYP3A4,,low,False,systemic,unspecified_systemic,89013,,DrugBank DB01238,source_partial
sys_med_0087,Loratadine,Loratadine,loratadine,antihistamine_systemic,cyp3a4_substrate|h1_receptor_antagonist|anticholinergic_systemic,CYP3A4,,low,False,systemic,unspecified_systemic,28889,,DrugBank DB00455,source_partial
sys_med_0088,Cetirizine,Cetirizine,cetirizine hydrochloride,antihistamine_systemic,h1_receptor_antagonist|anticholinergic_systemic,,,low,False,systemic,unspecified_systemic,20610,,DrugBank DB00341,source_partial
sys_med_0089,Midazolam,Midazolam,midazolam hydrochloride,benzodiazepine,cns_depressant|cyp3a4_substrate|gaba_a_positive_allosteric_modulator,CYP3A4,,low,False,systemic,unspecified_systemic,6960,,DrugBank DB00683,source_partial
sys_med_0090,Diazepam,Diazepam,diazepam,benzodiazepine,cns_depressant|cyp2c19_substrate|cyp3a4_substrate|gaba_a_positive_allosteric_modulator,CYP2C19|CYP3A4,,low,False,systemic,unspecified_systemic,3322,,DrugBank DB00829,source_partial
sys_med_0091,Clonazepam,Clonazepam,clonazepam,benzodiazepine,cns_depressant|cyp3a4_substrate|gaba_a_positive_allosteric_modulator,CYP3A4,,low,False,systemic,unspecified_systemic,2598,,DrugBank DB01068,source_partial
sys_med_0092,Pregabalin,Pregabalin,pregabalin,antiepileptic,calcium_channel_alpha2delta_ligand,,,low,False,systemic,unspecified_systemic,187832,,DrugBank DB00230,source_partial
